Date,Open,High,Low,Close,Adj Close,Volume,Calculation
2020-04-30,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2668900.0,0.0179488171836362
2020-05-01,1328.5,1352.069946,1311.0,1320.609985,1320.609985,2072500.0,-0.005939040270982272
2020-05-04,1308.22998,1327.660034,1299.0,1326.800049,1326.800049,1504000.0,0.0141948046474213
2020-05-05,1337.920044,1373.939941,1337.459961,1351.109985,1351.109985,1651500.0,0.009858542040050407
2020-05-06,1361.689941,1371.119995,1347.290039,1347.300049,1347.300049,1215400.0,-0.010567671513701917
2020-05-07,1365.939941,1377.599976,1355.27002,1372.560059,1372.560059,1397600.0,0.00484656594429273
2020-05-08,1383.130005,1398.76001,1375.47998,1388.369995,1388.369995,1386900.0,0.0037885014286853204
2020-05-11,1378.280029,1416.530029,1377.151978,1403.26001,1403.26001,1412100.0,0.01812402449023656
2020-05-12,1407.119995,1415.0,1374.77002,1375.73999,1375.73999,1390600.0,-0.02230087349444564
2020-05-13,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600.0,-0.02013005483724427
2020-05-14,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100.0,0.015812485718379003
2020-05-15,1350.0,1374.47998,1339.0,1373.189941,1373.189941,1707700.0,0.01717773407407414
2020-05-18,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1822400.0,0.016295165044978955
2020-05-19,1386.996948,1392.0,1373.484985,1373.484985,1373.484985,1280600.0,-0.00974188372907647
2020-05-20,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400.0,0.01233467345725009
2020-05-21,1408.0,1415.48999,1393.449951,1402.800049,1402.800049,1385000.0,-0.003693147017045494
2020-05-22,1396.709961,1412.76001,1391.829956,1410.420044,1410.420044,1309400.0,0.009815984265039504
2020-05-26,1437.27002,1441.0,1412.130005,1417.02002,1417.02002,2060600.0,-0.014089210599411237
2020-05-27,1417.25,1421.73999,1391.290039,1417.839966,1417.839966,1685800.0,0.00041627518080790545
2020-05-28,1396.859985,1440.839966,1396.0,1416.72998,1416.72998,1692200.0,0.014224757823526613
2020-05-29,1416.939941,1432.569946,1413.349976,1428.920044,1428.920044,1820900.0,0.00845491234550489
2020-06-01,1418.390015,1437.959961,1418.0,1431.819946,1431.819946,1217100.0,0.009468433123452384
2020-06-02,1430.550049,1439.609985,1418.829956,1439.219971,1439.219971,1278100.0,0.006060551328533101
2020-06-03,1438.300049,1446.552002,1429.776978,1436.380005,1436.380005,1256200.0,-0.0013349398140776686
2020-06-04,1430.400024,1438.959961,1404.72998,1412.180054,1412.180054,1484300.0,-0.012737674562567053
2020-06-05,1413.170044,1445.050049,1406.0,1438.390015,1438.390015,1734900.0,0.01784638098371691
2020-06-08,1422.339966,1447.98999,1422.339966,1446.609985,1446.609985,1404200.0,0.01706344445080442
2020-06-09,1445.359985,1468.0,1443.209961,1456.160034,1456.160034,1409200.0,0.007472220839156512
2020-06-10,1459.540039,1474.259033,1456.27002,1465.849976,1465.849976,1525200.0,0.0043232366577098
2020-06-11,1442.47998,1454.474976,1402.0,1403.839966,1403.839966,1991300.0,-0.026787209899440036
2020-06-12,1428.48999,1437.0,1386.02002,1413.180054,1413.180054,1946400.0,-0.010717566176295087
2020-06-15,1390.800049,1424.800049,1387.920044,1419.849976,1419.849976,1503900.0,0.020887205907770302
2020-06-16,1445.219971,1455.02002,1425.900024,1442.719971,1442.719971,1709200.0,-0.0017298404742290957
2020-06-17,1447.160034,1460.0,1431.380005,1451.119995,1451.119995,1549600.0,0.002736367027117625
2020-06-18,1449.160034,1451.410034,1427.01001,1435.959961,1435.959961,1581900.0,-0.009108775214815215
2020-06-19,1444.0,1447.800049,1421.349976,1431.719971,1431.719971,3157900.0,-0.008504175207756242
2020-06-22,1429.0,1452.75,1423.209961,1451.859985,1451.859985,1542400.0,0.015997190342897167
2020-06-23,1455.640015,1475.94104,1445.23999,1464.410034,1464.410034,1429800.0,0.006024854297509847
2020-06-24,1461.51001,1475.420044,1429.75,1431.969971,1431.969971,1756000.0,-0.020211999095373953
2020-06-25,1429.900024,1442.900024,1420.0,1441.329956,1441.329956,1230500.0,0.00799351829369576
2020-06-26,1431.390015,1433.449951,1351.98999,1359.900024,1359.900024,4267700.0,-0.049944452770267454
2020-06-29,1358.180054,1395.599976,1347.01001,1394.969971,1394.969971,1810200.0,0.027087658143446762
2020-06-30,1390.439941,1418.650024,1383.959961,1413.609985,1413.609985,2042400.0,0.016663822231211323
2020-07-01,1411.099976,1443.0,1409.819946,1438.040039,1438.040039,1775200.0,0.019091533880091292
2020-07-02,1446.939941,1482.949951,1446.420044,1464.699951,1464.699951,1859100.0,0.012274186023039615
2020-07-06,1480.060059,1506.589966,1472.859985,1495.699951,1495.699951,1564000.0,0.010567065778781444
2020-07-07,1490.0,1516.800049,1483.550049,1485.180054,1485.180054,1458200.0,-0.003234863087248371
2020-07-08,1494.319946,1505.880005,1485.630005,1496.0,1496.0,1249700.0,0.001124293364682109
2020-07-09,1506.449951,1522.719971,1488.084961,1510.98999,1510.98999,1423300.0,0.003013733710161592
2020-07-10,1506.150024,1543.829956,1496.540039,1541.73999,1541.73999,1856300.0,0.023629761599366413
2020-07-13,1550.0,1577.131958,1505.243042,1511.339966,1511.339966,1846400.0,-0.024941957419354836
2020-07-14,1490.310059,1522.949951,1483.5,1520.579956,1520.579956,1585000.0,0.020311140502071945
2020-07-15,1523.130005,1535.329956,1498.0,1513.640015,1513.640015,1610700.0,-0.006230584368272644
2020-07-16,1500.0,1518.689941,1486.310059,1518.0,1518.0,1519300.0,0.012
2020-07-17,1521.619995,1523.439941,1498.420044,1515.550049,1515.550049,1456700.0,-0.003989133962451691
2020-07-20,1515.26001,1570.290039,1503.599976,1565.719971,1565.719971,1557300.0,0.03330118967503143
2020-07-21,1586.98999,1586.98999,1554.280029,1558.420044,1558.420044,1216200.0,-0.01800260000379717
2020-07-22,1560.5,1570.0,1546.099976,1568.48999,1568.48999,932000.0,0.005120147388657504
2020-07-23,1566.969971,1571.869995,1507.391968,1515.680054,1515.680054,1627600.0,-0.032731908044969206
2020-07-24,1498.930054,1517.635986,1488.400024,1511.869995,1511.869995,1544000.0,0.008632785075907277
2020-07-27,1515.599976,1540.969971,1515.209961,1530.199951,1530.199951,1246000.0,0.00963313224544422
2020-07-28,1525.180054,1526.47998,1497.660034,1500.339966,1500.339966,1702200.0,-0.016286659358580837
2020-07-29,1506.319946,1531.251953,1501.329956,1522.02002,1522.02002,1106500.0,0.010422801637654114
2020-07-30,1497.0,1537.869995,1492.219971,1531.449951,1531.449951,1671400.0,0.023012659318637312
2020-07-31,1505.01001,1508.949951,1454.030029,1482.959961,1482.959961,3439900.0,-0.014651097901999964
2020-08-03,1486.640015,1490.469971,1465.640015,1474.449951,1474.449951,2330200.0,-0.008199741616668305
2020-08-04,1476.569946,1485.560059,1458.650024,1464.969971,1464.969971,1903500.0,-0.007856028108539116
2020-08-05,1469.300049,1482.410034,1463.459961,1473.609985,1473.609985,1979500.0,0.0029333259758164668
2020-08-06,1471.75,1502.390015,1466.0,1500.099976,1500.099976,1995400.0,0.0192627660947851
2020-08-07,1500.0,1516.844971,1481.640015,1494.48999,1494.48999,1577800.0,-0.003673339999999977
2020-08-10,1487.180054,1504.074951,1473.079956,1496.099976,1496.099976,1289300.0,0.005997876300188762
2020-08-11,1492.439941,1510.0,1478.0,1480.319946,1480.319946,1454400.0,-0.008120926455425127
2020-08-12,1485.579956,1512.385986,1485.25,1506.619995,1506.619995,1437000.0,0.014162845234295809
2020-08-13,1510.339966,1537.25,1508.005005,1518.449951,1518.449951,1455200.0,0.005369642055807223
2020-08-14,1515.660034,1521.900024,1502.880005,1507.72998,1507.72998,1354800.0,-0.00523207963666602
2020-08-17,1514.670044,1525.609985,1507.969971,1517.97998,1517.97998,1378300.0,0.002185252169679872
2020-08-18,1526.180054,1562.469971,1523.709961,1558.599976,1558.599976,2027100.0,0.02124252765263832
2020-08-19,1553.310059,1573.680054,1543.949951,1547.530029,1547.530029,1660600.0,-0.003721105111313708
2020-08-20,1543.449951,1585.869995,1538.199951,1581.75,1581.75,1706900.0,0.024814571392603544
2020-08-21,1577.030029,1597.719971,1568.005005,1580.420044,1580.420044,1446500.0,0.00214961981551459
2020-08-24,1593.97998,1614.170044,1580.569946,1588.199951,1588.199951,1409900.0,-0.003626161603359669
2020-08-25,1582.069946,1611.619995,1582.069946,1608.219971,1608.219971,2247100.0,0.016528994224380464
2020-08-26,1608.0,1659.219971,1603.599976,1652.380005,1652.380005,3993400.0,0.027599505597014913
2020-08-27,1653.680054,1655.0,1625.75,1634.329956,1634.329956,1861600.0,-0.011701234439633564
2020-08-28,1633.48999,1647.170044,1630.75,1644.410034,1644.410034,1499000.0,0.006685100041537421
